Round,round_num,home_Gls,Away_Gls,goals_difference,shots_difference,SoT_difference,tackles_difference,touches_difference,xG_difference,home_side_rank,away_side_rank,rolling_points_difference,rolling_points_home_difference,rolling_points_away_difference
Matchweek 16,16,1,0,-0.4,-3,-3,-0.6,-89,0.2,14,19,0.79999999999999993,1.2000000000000002,0
Matchweek 16,16,2,0,-2,0.2,-1.6,3.8,-48.2,-0.9,4,2,-1.6,-1.2,-1
Matchweek 16,16,2,1,0.6,2.4,0.6,3.4,73,0.1,7,11,1.4000000000000001,1.4000000000000001,0.19999999999999996
Matchweek 16,16,0,2,-1.4,-0.2,-3,0.2,-57.2,-0.1,8,3,-0.59999999999999987,-0.19999999999999996,-0.79999999999999982
Matchweek 16,16,4,1,0.6,-0.8,0.6,3,96.2,0.7,6,18,0.60000000000000009,0.80000000000000027,1.4000000000000001
Matchweek 16,16,1,2,-0.2,1.8,0.2,-2.6,5.2,0,16,9,0.8,0,-0.4
Matchweek 16,16,3,2,1.2,-4,0.4,1.2,-34.6,0.4,13,16,1.2,0.99999999999999989,0.8
Matchweek 17,17,1,2,0.2,-2.4,-1.6,-1,-184.2,-0.3,12,4,0,0.19999999999999996,-0.19999999999999996
Matchweek 17,17,1,0,0.2,3.8,1.4,-2.4,59.8,0,14,9,-0.39999999999999991,-0.60000000000000009,-1.4000000000000001
Matchweek 17,17,0,2,-1,1.8,-0.2,-2,-37.8,-0.5,19,11,-1.2,-0.39999999999999991,-1.4000000000000001
Matchweek 17,17,0,1,0,-1.2,0,3.6,17.8,-0.5,20,14,0,-0.79999999999999993,0.19999999999999996
Matchweek 17,17,3,1,0.6,3.4,0.8,-5.2,124.6,0.8,1,6,1.4,0.39999999999999991,1.0000000000000002
Matchweek 17,17,3,1,1.6,2,2,-2,260.4,0.7,2,7,0.79999999999999982,0.39999999999999991,1.8
Matchweek 17,17,3,2,-0.4,0.8,1.2,0,-127.2,-0.6,18,5,-1.2000000000000002,-1.4000000000000001,-1.4000000000000001
Matchweek 17,17,1,0,1.6,2.2,2.2,3.2,115,0.5,3,17,1.4,0.8,1.5999999999999999
Matchweek 17,17,3,2,-0.6,-2.8,0.2,0,63,-0.5,9,16,-1.6,-1.2000000000000002,0.8
Matchweek 17,17,2,0,0.4,4.2,1.6,5.4,18,0.5,8,13,0.99999999999999989,0,-0.19999999999999996
Matchweek 18,18,3,1,1.2,6.2,1,2,199.2,0.8,5,18,0.59999999999999987,1.2000000000000002,1.4000000000000001
Matchweek 18,18,2,0,-0.8,-3.2,-0.6,-9,-71,-0.5,11,13,-0.99999999999999989,-1.4,0
Matchweek 18,18,1,5,-0.6,-0.8,-3.4,-3.6,-225,0.4,17,6,-0.40000000000000013,0.19999999999999973,-1
Matchweek 18,18,0,1,0.8,3,1.6,-2.4,183,0.3,4,7,0.8,0.60000000000000009,0.39999999999999991
Matchweek 18,18,2,6,-1.2,0.2,-1.6,0.6,-12.6,0,7,3,-1,0.8,-1.5999999999999999
Matchweek 18,18,1,3,-0.8,-2.4,-1.6,1.4,29,-0.3,20,16,0,-0.4,0.8
Matchweek 18,18,2,3,1.2,-1.6,1.8,-1.8,240.2,0.9,2,14,1,2,2.4
Matchweek 18,18,0,0,-0.2,-1.6,-0.6,-1,-8.4,-0.1,15,19,0.19999999999999996,0.19999999999999996,0.60000000000000009
Matchweek 18,18,0,2,1.2,-1.8,1.2,2.8,-47.2,0,12,7,1.7999999999999998,1.2000000000000002,0.8
Matchweek 18,18,0,2,-1.2,-7.2,-3.4,5,-219.2,-1.1,10,1,-1.2,-1.4000000000000001,-1.6
Matchweek 19,19,1,1,-1,-3.2,-1,2.2,-95.8,-1,13,5,-0.60000000000000009,-0.20000000000000018,0.19999999999999996
Matchweek 19,19,1,5,-0.6,-3.8,-0.6,1.8,-143,-0.4,18,7,-0.20000000000000007,-1.6,-0.60000000000000009
Matchweek 19,19,0,0,0.4,2,1,1.8,179.8,-0.5,14,16,0.60000000000000009,-1,0.2
Matchweek 19,19,1,1,-1,1.6,-0.2,-5,14.2,-0.3,19,9,-1.4,-0.39999999999999991,-1.2
Matchweek 19,19,2,1,-1.2,-5.4,-2.4,5.4,-321.6,-1,7,3,-0.40000000000000013,-2,-1
Matchweek 19,19,4,0,1.8,8.8,3.2,-3.6,229.8,1.5,1,15,2,1.4000000000000001,1.4000000000000001
Matchweek 19,19,3,1,2.2,-0.8,3,2.4,43,0.6,5,20,1.8,2.2,0
Matchweek 19,19,1,2,-0.4,2.2,-1.2,-2.8,-14.2,-0.3,16,11,-1,-0.60000000000000009,-1.4000000000000001
Matchweek 19,19,5,0,2,3.6,3.2,4.6,115.6,1,2,12,1.5999999999999999,1.7999999999999998,1.2
Matchweek 19,19,1,2,0,-1.4,-0.8,0.4,-182,0.1,9,4,-0.60000000000000009,-1.0000000000000002,-1
Matchweek 20,20,1,0,-1.2,-2.2,-0.8,7,-56.8,-0.6,11,7,-0.59999999999999987,-1,0.39999999999999991
Matchweek 20,20,2,0,-1.2,-4.4,-3.2,-2,-151.6,-0.1,17,11,-1.7999999999999998,-1,-2
Matchweek 20,20,0,1,0,1.4,-0.8,2.2,-172.4,-0.3,14,4,-0.40000000000000013,-0.60000000000000009,-1.6
Matchweek 20,20,1,0,0,-1,0.4,-7.2,-99.4,0.2,18,20,0.39999999999999997,0.6,-0.60000000000000009
Matchweek 20,20,0,1,-0.2,1.2,0.4,4.4,127.2,-0.6,7,15,0.59999999999999987,-0.79999999999999982,0.8
Matchweek 20,20,5,1,1.4,8.6,3.8,-2,93.8,0.8,1,6,1.6,0.79999999999999982,2
Matchweek 20,20,4,1,2.4,3,5,5.4,97.4,1,5,13,1.5999999999999999,2,0.4
Matchweek 20,20,1,2,0,-1.4,-0.4,0.8,-263.2,0,18,2,0,-1.8,-1.6
Matchweek 20,20,1,3,2,1.6,1.2,-6.8,121,0.3,3,7,1,1.2,1.4
Matchweek 20,20,1,1,1,4,1.4,1.2,70.4,1,10,16,0.19999999999999996,0,-0.39999999999999991
Matchweek 21,21,4,1,1,0,0.2,1.6,164,0.2,6,19,0.39999999999999991,1.2000000000000002,0.19999999999999996
Matchweek 21,21,2,3,-1,-1.8,-1.4,-6.6,-32,-1,13,8,-0.79999999999999993,-0.19999999999999996,-0.20000000000000007
Matchweek 21,21,0,3,-2,-1.4,-1.4,1.6,-329.2,-0.3,16,3,-1,-0.59999999999999987,-2.1999999999999997
Matchweek 21,21,0,0,-0.2,0.8,-0.4,-2.8,275.4,0.1,4,18,1.2,0.8,1.2000000000000002
Matchweek 21,21,0,1,1.4,0,0,-7.6,-7.6,0.3,9,7,0,0.39999999999999991,-0.8
Matchweek 21,21,1,2,-0.6,0.6,0.6,-0.6,133,-0.9,20,15,-1.2,-0.4,0.60000000000000009
Matchweek 21,21,2,1,-1.8,-4.2,-2.4,2.2,63,-1,2,1,-1.8,-0.60000000000000009,-0.8
Matchweek 21,21,0,2,-2.8,-5.2,-5.2,0.8,-224.2,-1.5,17,5,-1.4,-1.2000000000000002,-0.19999999999999996
Matchweek 21,21,0,2,0.8,2.2,2.2,0,36.2,0.4,12,11,1,0.19999999999999996,1.6
Matchweek 21,21,0,2,0.4,0.8,2.4,1.6,70.2,0.4,9,14,0.60000000000000009,-0.40000000000000013,0.19999999999999996
Matchweek 22,22,0,1,-2,-7.4,-3.4,5.4,-228.8,-1.8,11,1,-1,-1.4,-1.7999999999999998
Matchweek 22,22,1,1,0.6,0.4,0,4.6,-39.4,0.6,15,19,0.19999999999999996,0.39999999999999991,0
Matchweek 22,22,0,0,0.2,-3,-0.8,-1.4,-207.6,0.2,16,20,0.8,1.4,-0.60000000000000009
Matchweek 22,22,2,1,0.6,4,1.8,-5.6,368.6,0.9,4,18,1,0.20000000000000018,0.60000000000000009
Matchweek 22,22,0,2,-0.8,0.6,-2.2,2.4,-63.4,-0.2,14,7,0,0.19999999999999996,-0.59999999999999987
Matchweek 22,22,2,0,0.6,-1.2,-1,1.8,-18.8,0.2,8,13,0,0.39999999999999991,0.8
Matchweek 22,22,1,2,-0.8,1.4,-0.6,2.4,64,0,8,16,0.40000000000000013,0.19999999999999996,0.8
Matchweek 22,22,2,0,0.8,2.2,1,-7.6,185.4,0.6,2,10,0.40000000000000013,1.2,0.19999999999999996
Matchweek 22,22,0,1,0.2,0,-2,-5,48.2,-0.7,3,5,0,-0.20000000000000018,1
Matchweek 22,22,1,0,-1.4,0.8,-0.6,3.2,-127.2,-0.9,11,6,-0.19999999999999996,-1.0000000000000002,1.8000000000000003
Matchweek 23,23,2,0,0.8,-2.4,-0.4,-1.2,-186.4,0.4,6,5,-0.60000000000000009,1,-1.4
Matchweek 23,23,2,0,0.4,1.4,0.8,-2,-21.6,0.1,13,11,-0.6,-0.19999999999999996,-2
Matchweek 23,23,0,2,-2.2,-4.4,-3.2,-2.4,-205.2,-0.3,19,3,-0.60000000000000009,-0.79999999999999982,-2.1999999999999997
Matchweek 23,23,0,3,-1.2,-3,-2.2,2.8,-281.8,-1.1,20,2,-1.6,-2.1999999999999997,-1
Matchweek 23,23,4,3,1.6,-2,2.4,-5.8,219,1.1,1,14,1,1.6,1
Matchweek 23,23,2,1,2.2,3.8,4.8,-3.4,234.4,1.4,4,11,1.6,1,0.19999999999999996
Matchweek 23,23,3,0,0,1.8,-0.6,6,96.2,-0.3,16,18,-0.6,-1,0.39999999999999991
Matchweek 23,23,1,1,-0.4,-5.4,0.2,5,-117.6,0.1,16,8,0.19999999999999996,-0.39999999999999991,0
Matchweek 23,23,0,0,0.4,-0.6,-0.6,-1.2,15.2,-0.4,7,15,0.60000000000000009,-0.59999999999999987,0.59999999999999987
Matchweek 23,23,4,2,-0.2,-3.2,-1.6,2.2,43.2,-0.5,9,9,-1,-0.19999999999999996,0
Matchweek 24,24,2,1,1.4,3.4,2,0.8,224,1.2,6,18,0.39999999999999991,1.2,-0.4
Matchweek 24,24,4,0,0,1,1.2,2,-332.8,0.1,11,5,-1.4,-0.20000000000000018,-1.8
Matchweek 24,24,4,2,-0.2,1.4,0.8,-4.8,32.2,0.4,18,12,-0.39999999999999991,-0.60000000000000009,-1
Matchweek 24,24,0,1,-1.2,-3,-0.6,1.4,-48.6,-0.4,20,7,-1.2,-1.4,0
Matchweek 24,24,1,1,1.8,-1.6,1,-3.8,187.6,1.1,1,10,1.2,1.6,1
Matchweek 24,24,2,2,1.2,1.6,3.4,-2.8,164.2,0.1,4,16,1.4,1.6,0.59999999999999987
Matchweek 24,24,2,1,-1,-3.2,-2.2,7.4,-366.6,-1.1,14,2,-1.5999999999999999,-1.5999999999999999,-0.60000000000000009
Matchweek 24,24,1,1,0,-7,0,1.8,-104.2,-0.4,17,14,0.19999999999999996,-0.39999999999999991,-0.39999999999999991
Matchweek 24,24,2,1,0.8,2,3,-0.4,236.4,0,3,9,0.19999999999999996,1,0.59999999999999987
Matchweek 24,24,3,0,1,-1,0.4,6.8,6.2,0.1,8,12,0.19999999999999996,0.60000000000000009,-0.19999999999999996
Matchweek 25,25,0,0,-0.2,-0.8,0.8,2,-21.8,-0.1,11,9,-0.40000000000000013,0.59999999999999987,-0.60000000000000009
Matchweek 25,25,1,1,0.4,4,1,-5.6,19,1.1,15,17,0.60000000000000009,0.39999999999999991,-0.59999999999999987
Matchweek 25,25,2,0,-1.4,-3,-4,0.4,-92.8,-0.9,17,11,-0.39999999999999991,0,0.8
Matchweek 25,25,5,0,0.4,2.6,2.2,-1.6,248.8,0.1,5,20,1.2,2,1.4
Matchweek 25,25,2,0,-0.2,-2.2,-1.6,11.2,-56.6,-0.6,14,19,-0.59999999999999987,0.39999999999999991,0.79999999999999993
Matchweek 25,25,1,3,-1.2,1.6,-1,-1.2,41.8,-0.1,8,7,-0.40000000000000013,-0.40000000000000013,-0.59999999999999987
Matchweek 25,25,0,1,-1.2,-3.8,-2.4,6,-118.6,-0.9,10,4,-1.8,-1.8,-0.60000000000000009
Matchweek 25,25,3,1,0.2,1.6,1,-5.2,232.6,-0.2,2,6,0.59999999999999987,-0.60000000000000009,1.6
Matchweek 25,25,1,0,0.2,4.4,2.4,-6.6,317,0.4,3,15,0.40000000000000013,1,1.4
Matchweek 25,25,1,1,-2.2,-3.2,-3.2,-2.6,-237.8,-1.5,11,1,-1.4,-1.2,-0.59999999999999987
Matchweek 26,26,1,3,-0.2,0.8,-0.4,2.6,7.6,-0.6,12,15,-0.59999999999999987,-0.39999999999999991,0.19999999999999996
Matchweek 26,26,1,1,1.2,5.4,2.2,11,9.4,0.9,14,11,0.59999999999999987,-0.40000000000000013,0
Matchweek 26,26,0,3,-0.4,-4,-3,0.2,-42.8,-0.5,19,4,-1.8,-1.6,-2
Matchweek 26,26,1,2,-1.6,-2.4,-2,-0.2,-32.2,-1.3,20,6,-1.6,-3,0.2
Matchweek 26,26,3,0,0,-1.8,-0.8,-2.4,258.4,0.2,1,12,0.40000000000000013,1.2000000000000002,2.4
Matchweek 26,26,6,0,0.8,0.4,1,-3.6,-5.2,0.8,2,5,1,0.39999999999999991,0
Matchweek 26,26,1,2,0.4,-1,1,2.8,109.8,0,18,16,0.59999999999999987,-0.39999999999999991,0.59999999999999987
Matchweek 26,26,3,1,0.6,3.4,0.4,-2.6,239.2,0.3,3,10,1.5999999999999999,0.60000000000000009,1
Matchweek 26,26,1,0,0.2,-2.4,-1.2,-1.6,-116.2,-0.1,8,9,0.20000000000000018,-0.39999999999999991,0.40000000000000013
Matchweek 26,26,1,1,0.8,-0.4,1.2,0.2,61.8,0.4,7,17,0.60000000000000009,1,0.59999999999999987
Matchweek 27,27,2,0,0.2,-0.8,-0.8,-1,40.2,0.1,6,18,0.60000000000000009,2,-1.4000000000000001
Matchweek 27,27,1,1,-1,-2,-1,-1.6,5.4,-0.5,12,8,-0.8,0,-2
Matchweek 27,27,2,1,-0.2,-6.8,-1.8,-0.6,-272.4,-0.1,14,3,-1,-0.19999999999999996,-1.4
Matchweek 27,27,1,5,0.2,1.4,0.6,-1.4,-73.4,-0.2,17,7,-0.20000000000000018,0.39999999999999991,-1.2
Matchweek 27,27,3,0,0.6,0.4,1.2,3.8,228.8,0,5,14,1,1,1.2000000000000002
Matchweek 27,27,0,2,-2,-5.2,-3.6,7.2,-264,-1.4,9,2,-1,-1.2,0.19999999999999996
Matchweek 27,27,1,4,-0.4,0,1.2,-10.8,46,0.3,10,12,-0.8,-0.79999999999999993,0
Matchweek 27,27,0,0,-0.2,2.8,0.6,-5,-234,0.1,4,1,0.39999999999999991,0,0.39999999999999991
Matchweek 27,27,2,0,1.2,-1.4,0,-0.2,-136,0,16,20,1.2,1.4,0.60000000000000009
