home_Gls,Away_Gls,goals_difference,shots_difference,SoT_difference,tackles_difference,touches_difference,xG_difference,home_side_rank,away_side_rank,rolling_points_difference,rolling_points_home_difference,rolling_points_away_difference
4,1,0.6,-0.8,0.6,3,96.2,0.7,6,18,0.60000000000000009,0.80000000000000027,1.4000000000000001
1,2,-0.2,1.8,0.2,-2.6,5.2,0,16,9,0.8,0,-0.4
3,2,1.2,-4,0.4,1.2,-34.6,0.4,13,16,1.2,0.99999999999999989,0.8
1,2,0.2,-2.4,-1.6,-1,-184.2,-0.3,12,4,0,0.19999999999999996,-0.19999999999999996
1,0,0.2,3.8,1.4,-2.4,59.8,0,14,9,-0.39999999999999991,-0.60000000000000009,-1.4000000000000001
0,2,-1,1.8,-0.2,-2,-37.8,-0.5,19,11,-1.2,-0.39999999999999991,-1.4000000000000001
0,1,0,-1.2,0,3.6,17.8,-0.5,20,14,0,-0.79999999999999993,0.19999999999999996
3,1,0.6,3.4,0.8,-5.2,124.6,0.8,1,6,1.4,0.39999999999999991,1.0000000000000002
3,1,1.6,2,2,-2,260.4,0.7,2,7,0.79999999999999982,0.39999999999999991,1.8
3,2,-0.4,0.8,1.2,0,-127.2,-0.6,18,5,-1.2000000000000002,-1.4000000000000001,-1.4000000000000001
1,0,1.6,2.2,2.2,3.2,115,0.5,3,17,1.4,0.8,1.5999999999999999
3,2,-0.6,-2.8,0.2,0,63,-0.5,9,16,-1.6,-1.2000000000000002,0.8
2,0,0.4,4.2,1.6,5.4,18,0.5,8,13,0.99999999999999989,0,-0.19999999999999996
3,1,1.2,6.2,1,2,199.2,0.8,5,18,0.59999999999999987,1.2000000000000002,1.4000000000000001
2,0,-0.8,-3.2,-0.6,-9,-71,-0.5,11,13,-0.99999999999999989,-1.4,0
1,5,-0.6,-0.8,-3.4,-3.6,-225,0.4,17,6,-0.40000000000000013,0.19999999999999973,-1
0,1,0.8,3,1.6,-2.4,183,0.3,4,7,0.8,0.60000000000000009,0.39999999999999991
2,6,-1.2,0.2,-1.6,0.6,-12.6,0,7,3,-1,0.8,-1.5999999999999999
1,3,-0.8,-2.4,-1.6,1.4,29,-0.3,20,16,0,-0.4,0.8
